sentence	sentence_id	locale	reason
Bởi vì họ cũng bị chẻ mắt	1c4797e6ffe51f8eca622d733a9b6e048f6029268e70141e9f64ad2c06da3f7f	vi	grammar-or-spelling
máu mê bắn bét loang nổ cả một vùng đất	286d0599e1c95b8e9583bdcf348b6ad6f6a1b8bd79b13599c059a92286d94e60	vi	grammar-or-spelling
Thu về cho cô không ít tiền bạc mối quan hệ tốt	43b481c6d74a557a7d0207ec9d71c48e1d263b40232862c8268b88c6404d5c4f	vi	grammar-or-spelling
máu mê bắn bét loang nổ cả một vùng đất	286d0599e1c95b8e9583bdcf348b6ad6f6a1b8bd79b13599c059a92286d94e60	vi	grammar-or-spelling
máu mê bắn bét loang nổ cả một vùng đất	286d0599e1c95b8e9583bdcf348b6ad6f6a1b8bd79b13599c059a92286d94e60	vi	grammar-or-spelling
Váy trời ban phước	3d0630dc41127ac58136d30dcd4c38d71ee7db4f3b568361b1b5de0ab61e8db5	vi	grammar-or-spelling
Nhớ nhà thửa nhỏ	5ca477099ee57d8eabdf7fc8e56a0fe97adfcd359e682b8f65c0a57c4290c536	vi	grammar-or-spelling
Trinh bội vàng lại xem	58af8db99d8d8c429606ba5f006ef3eb5229b0ea660da91c644349879fe228fd	vi	grammar-or-spelling
Bố mẹ của Pương cũng như Trinh cùng bạn bè giật mình hốt hoảng	4a649cab23d7e983460353596dd7c082ac928204d2209680297b8c611ecdb0ff	vi	grammar-or-spelling
Bố mẹ của Phương lao lại ôm nghiềm lấy con	689ec582f9105b6bb0f4f27b5b13d773b2ce4095ef1573539ed8cd1708bee50c	vi	grammar-or-spelling
hay là để tamj xe ở đây rồi tao chở mày về	51f9c7778a91ddf01653ac2796bc0c94f3150697714408f38b0259e05cce4ac8	vi	grammar-or-spelling
Quần đax mất tất cả chán chường tuyệt vọng	72175b75c50c65df7c3215e59b60c7413f1a46731954b42b37e652ba52db6b81	vi	grammar-or-spelling
Quần đax mất tất cả chán chường tuyệt vọng	72175b75c50c65df7c3215e59b60c7413f1a46731954b42b37e652ba52db6b81	vi	grammar-or-spelling
nhung bai tho hay nhat moi thoi dai	5b139c0f5c22133d762cde0192688f82fb7a20f016ea0565d12c6f14809c37c7	vi	grammar-or-spelling
Bố mẹ của Pương cũng như Trinh cùng bạn bè giật mình hốt hoảng	4a649cab23d7e983460353596dd7c082ac928204d2209680297b8c611ecdb0ff	vi	grammar-or-spelling
